id,fldUsername,fldCategory,FldData,Calories
mb,Harris Millis Dining Hall,Exhibition,Omelet Bar,260
mb,Harris Millis Dining Hall,Exhibition,Bagel Bar,430
mb,Harris Millis Dining Hall,Main,Scramble Eggs,180
mb,Harris Millis Dining Hall,Main,Buttermilk Pancakes,230
mb,Harris Millis Dining Hall,Main,Low Fat Yogurt,30
ml,Harris Millis Dining Hall,Soup,Vegetarian Lentil & Spinach Soup,120
ml,Harris Millis Dining Hall,Main,Winter Squash & Black Been Stew,140
ml,Harris Millis Dining Hall,Main,Angel Hair Pasta with Crab Pomodoro,540
ml,Harris Millis Dining Hall,Exhibiton,Sizzling Taco Chip Salad,750
ml,Harris Millis Dining Hall,Deli,Made-To-Order Deli,280
ml,Harris Millis Dining Hall,Pizza,Penne Pasta ,200
ml,Harris Millis Dining Hall,Pizza,Cheese Pizza- Slice,240
ml,Harris Millis Dining Hall,Pizza,Pepperoni Pizza,280
ml,Harris Millis Dining Hall,Grill,Hamburger,300
ml,Harris Millis Dining Hall,Grill,Turkey Burger,270
md,Harris Millis Dining Hall,Simple Serving,Mediterranean Salmon + Wild Rice Pilaf,530
md,Harris Millis Dining Hall,Grill,Chicken Sandwich,240
md,Harris Millis Dining Hall,Main,Marinated Portobellos with Quinoa Pilaf,170
md,Harris Millis Dining Hall,Theme Cuisine,Noodle Bowl Theme Station,
md,Harris Millis Dining Hall,Simple Serving,Szechuan Top Round Steak,140
md,Harris Millis Dining Hall,Simple Serving,Bok Choy & Shittake Mushroom with Seasame ,120
md,Harris Millis Dining Hall,Salad,Country-Style Potato Salads,40
md,Harris Millis Dining Hall,Salad,Garden Pasta Salad,25
