id,fldUsername,fldCategory,FldData,Calories
mb,Redstone Unlimited Dining,Redstone Breakfast,Scrambled Eggs,140
mb,Redstone Unlimited Dining,Redstone Breakfast,Oatmeal,50
mb,Redstone Unlimited Dining,Redstone Breakfast,Cherry Crisp with Almond Topping,270
mb,Redstone Unlimited Dining,Redstone Breakfast,Roasted Potatos,90
mb,Redstone Unlimited Dining,Redstone Breakfast,155 Breakfast Burrito,720
ml,Redstone Unlimited Dining,Comfort Corner Kitchen,Made to Order Deli Bar,280
ml,Redstone Unlimited Dining,Grill,Grilled Hummus Pita,220
ml,Redstone Unlimited Dining,Grill,Grilled Ham & Cheese Sandwich,310
ml,Redstone Unlimited Dining,Pizza,Chipotle Grilled Chicken Breast Sandwich,160
ml,Redstone Unlimited Dining,Pizza,Buffalo Chicken Submarine Sandwhich,450
ml,Redstone Unlimited Dining,Salad,Salad Bar Station,490
ml,Redstone Unlimited Dining,Comfort Corner Soups,Roasted Garden Vegetable Soup,40
ml,Redstone Unlimited Dining,Vegetarian/Vegan Options,Vegetable Chili,160
ml,Redstone Unlimited Dining,Vegetarian/Vegan Options,Vegan Basmati Rice,100
ml,Redstone Unlimited Dining,Vegetarian/Vegan Options,Corn & Tomatos ,80
ml,Redstone Unlimited Dining,Vegetarian/Vegan Options,Fried Eggplant Disk,240
md,Redstone Unlimited Dining,Comfort Corner Kitchen,Chicken Curry & Couscous Primavera,230
md,Redstone Unlimited Dining,Salad,Salad Bar Station,490
md,Redstone Unlimited Dining,Pizza,Cheese Pizza-Slice,240
md,Redstone Unlimited Dining,Pizza,Shrimp Frasca Pizzetta,280
md,Redstone Unlimited Dining,Pizza,Meat Lasagna,420
md,Redstone Unlimited Dining,Grill,French Fries,130
md,Redstone Unlimited Dining,Grill,Italian Hero Sandwich,520
md,Redstone Unlimited Dining,Vegetarian/Vegan Options,Vegetable Potstickers,90
md,Redstone Unlimited Dining,Vegetarian/Vegan Options,"Indian Potatoes, Peas & Cauliflower",50
md,Redstone Unlimited Dining,Vegetarian/Vegan Options,Garlic Sauteed Broccoli Raab,70
md,Redstone Unlimited Dining,Vegetarian/Vegan Options,Three Cheese Gartin Potatoes,300
